rank,content_id,priority_score,decline_probability,business_value_score,archetype,recommended_action,reason_codes,content_type,main_intent,days_since_last_update,impressions_90d,clicks_90d,ctr,engagement_rate
1,content_a5dbb404bdc2,0.5444593815869918,0.7508501708368214,0.06288087333738965,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale,keyword article,informational,106,79035,59,0.07,6.82
2,content_6ac3ab740bbf,0.5429373091158457,0.7654211054334858,0.023808451041352194,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale,keyword article,informational,106,22462,31,0.14,0.0
3,content_b08562686d22,0.5419277952367687,0.7728898610394863,0.0030163083637608267,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,106,2846,4,0.14,0.0
4,content_ef9bdd92b523,0.5412245941083808,0.7731767498608616,2.8973525923579425e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,6,0,0.0,0.0
5,content_84c5f6af423c,0.5410257059992386,0.7728921273016427,4.0562936293011195e-06,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,8,0,0.0,0.0
6,content_829c68e60d13,0.5402776617815895,0.7715836595534491,0.0005636669805840511,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,106,307,0,0.0,0.0
7,content_26d48a980581,0.5373922443185835,0.7670578940795207,0.0015057282097300495,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,106,1266,0,0.0,0.0
8,content_624b2fd8dca5,0.5373778942815629,0.7673505564511168,0.0007750158859373763,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,5,0,0.0,0.0
9,content_c8300a2e0cfa,0.5367912249296586,0.7668331831950054,2.665564384969307e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,47,0,0.0,0.0
10,content_4d6923d17c10,0.5365627895157461,0.7664320048418269,0.00020128708822447474,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,15,0,0.0,0.0
11,content_b2df860b928d,0.5354828142207189,0.7644727541874962,0.0011729542982385531,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,25,0,0.0,0.0
12,content_c65ee459f729,0.5352090245983895,0.76172203686305,0.006678662647515203,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale | below_typical_ctr,keyword article,informational,106,6526,0,0.0,0.0
13,content_1de940de6ed3,0.5344684825292071,0.7635211883784869,1.216888088790336e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,22,0,0.0,0.0
14,content_1e445ab8e155,0.5327076759544085,0.7607576315434692,0.0005911129132670493,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,21,0,0.0,0.0
15,content_217ab13a19c2,0.5326754114685056,0.7609591616027545,1.3327821924846536e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,104,24,0,0.0,0.0
16,content_d0cadc3e2773,0.5315367627241824,0.7414486204588132,0.0417424280100438,high_risk_high_value,Priority human review,high_decline_risk | high_value_page | content_stale,keyword article,informational,89,46437,27,0.06,3.51
17,content_c84a0ab98e90,0.5310714049167454,0.6916430716230582,0.1564041826020158,high_risk_high_value,Priority human review,elevated_decline_risk | high_value_page,keyword article,informational,20,223271,70,0.03,3.45
18,content_b925c292d21b,0.5299008906708872,0.756971222701524,7.011593273506222e-05,stale_high_risk,Review and refresh content,high_decline_risk | content_stale | below_typical_ctr,keyword article,informational,89,122,0,0.0,0.0
19,content_f562786a3f25,0.5296403570530723,0.7559734793337828,0.0015297383980812703,stale_high_risk,Review and refresh content,high_decline_risk | content_stale,keyword article,informational,89,384,1,0.26,0.0
